NAME,K200101_001E,K200201_003E,K200201_002E,K200201_005E,K202101_002E,K202101_006E,K201701_002E,K201901_001E,K201501_004E,K201501_007E,K202801_002E,K202801_004E,state,congressional district
"Congressional District 4 (118th Congress), South Carolina",767156,129505,510990,21361,38224,560308,94306,310595,132906,123111,299294,283098,45,04
"Congressional District 5 (118th Congress), South Carolina",771387,180261,503663,16350,46968,541712,99259,299760,158333,102198,283150,265713,45,05
"Congressional District 6 (118th Congress), South Carolina",755258,347267,326940,12696,48857,551564,136938,315223,149840,97639,298228,277970,45,06
"Congressional District 7 (118th Congress), South Carolina",779771,195079,508334,8899,48959,581151,126548,324106,186378,93530,306496,288629,45,07
"Congressional District (at Large) (118th Congress), South Dakota",919318,22730,739679,13999,54717,642443,104684,378559,170305,141083,361243,344227,46,00
"Congressional District 1 (118th Congress), Tennessee",788014,16715,702295,7245,52512,585156,119622,330999,206554,81943,307393,283766,47,01
"Congressional District 2 (118th Congress), Tennessee",806407,46557,676123,12524,42837,597613,105171,323515,161037,116358,308031,288955,47,02
"Congressional District 3 (118th Congress), Tennessee",798804,77882,632340,11080,45336,587319,112291,324057,173177,100655,306556,292843,47,03
"Congressional District 4 (118th Congress), Tennessee",808625,64825,619730,18368,43031,579949,100850,305777,190077,94948,290742,275377,47,04
"Congressional District 5 (118th Congress), Tennessee",793338,98493,558274,30961,37049,569691,59853,327354,123093,160394,318419,307036,47,05
"Congressional District 6 (118th Congress), Tennessee",796534,66789,629542,8877,43086,579283,109898,330981,182782,110639,314219,297869,47,06
"Congressional District 7 (118th Congress), Tennessee",813590,126400,585997,14119,58676,565813,100144,339426,154862,119900,326979,309812,47,07
"Congressional District 8 (118th Congress), Tennessee",773599,132112,568274,12990,42008,557256,114682,304513,185574,94622,289328,272865,47,08
"Congressional District 9 (118th Congress), Tennessee",747578,459668,177185,14571,31089,526502,155949,302604,152345,73036,286226,270948,47,09
"Congressional District 1 (118th Congress), Texas",785535,128091,508045,8294,43090,554269,113371,292593,155239,79789,278453,256281,48,01
"Congressional District 2 (118th Congress), Texas",839055,106994,448113,43719,37177,563383,85522,297981,114020,129559,292454,284388,48,02
"Congressional District 3 (118th Congress), Texas",872647,98828,503313,120067,32397,612852,56708,298289,95647,171182,294445,285441,48,03
"Congressional District 7 (118th Congress), Texas",809564,170225,231048,155223,15933,619793,128027,329716,91566,143629,324808,307013,48,07
"Congressional District 4 (118th Congress), Texas",845835,72407,510372,118133,39361,605674,71616,319751,123628,164052,312907,299605,48,04
"Congressional District 5 (118th Congress), Texas",827361,119812,400138,41389,35051,576654,99080,275822,159241,90347,267908,255661,48,05
"Congressional District 6 (118th Congress), Texas",814151,113975,422827,26469,34745,565249,100539,276458,150190,94019,267933,252265,48,06
"Congressional District 8 (118th Congress), Texas",868181,97186,467739,56237,39433,609822,95965,300437,151142,127676,295126,282225,48,08
"Congressional District 9 (118th Congress), Texas",764812,274893,131066,76539,19636,560779,141180,286419,123775,88058,277314,260539,48,09
"Congressional District 10 (118th Congress), Texas",817807,78453,501883,44237,39000,593281,107846,310541,118696,136403,301023,278682,48,10
"Congressional District 11 (118th Congress), Texas",790592,96347,409255,16622,60247,503804,93006,316877,153956,90085,305341,282225,48,11
"Congressional District 12 (118th Congress), Texas",849835,117742,498406,36683,46591,595247,86295,315022,138873,128061,309056,297106,48,12
"Congressional District 13 (118th Congress), Texas",790888,53903,526557,20437,42352,563423,109338,299284,152638,92665,285545,264901,48,13
"Congressional District 14 (118th Congress), Texas",778849,117553,448430,20299,35961,555483,101507,293530,148002,88402,282844,269047,48,14
"Congressional District 15 (118th Congress), Texas",799844,9934,266571,9112,27196,545782,179307,260258,131187,75289,247568,232700,48,15
"Congressional District 16 (118th Congress), Texas",766538,26903,228015,9774,41158,520574,137154,272788,129335,88027,256718,241038,48,16
"Congressional District 17 (118th Congress), Texas",800590,118141,462671,20480,42075,573321,116552,296134,148605,93257,284140,264000,48,17
"Congressional District 18 (118th Congress), Texas",788066,252419,201001,39008,23681,555305,169035,293247,121379,90294,284306,265692,48,18
"Congressional District 19 (118th Congress), Texas",771186,46812,488249,10915,33898,543408,114991,296243,147757,76104,283737,265209,48,19
"Congressional District 20 (118th Congress), Texas",768443,51015,276826,24963,50498,523824,140162,280118,134820,84160,268690,256402,48,20
"Congressional District 21 (118th Congress), Texas",839290,30884,553988,22103,65901,589366,64521,338266,113330,173939,333121,319982,48,21
"Congressional District 22 (118th Congress), Texas",852846,117606,380434,129404,33087,583914,75530,295628,97575,158897,287285,278441,48,22
"Congressional District 23 (118th Congress), Texas",786734,32415,335124,23265,47091,512661,103235,266725,121634,99153,256295,242581,48,23
"Congressional District 24 (118th Congress), Texas",784279,60995,519157,66010,36818,548562,42262,290739,81310,174006,285397,277148,48,24
"Congressional District 25 (118th Congress), Texas",813686,105358,493527,26078,41192,575775,90037,298427,144476,111111,290948,279576,48,25
"Congressional District 26 (118th Congress), Texas",854717,88215,504744,93422,41320,608521,44561,309326,102614,183122,304502,295896,48,26
"Congressional District 27 (118th Congress), Texas",779431,30493,385191,13113,44114,548309,119696,292929,170071,76870,278423,260847,48,27
"Congressional District 28 (118th Congress), Texas",799580,36835,270169,8043,41572,531623,155616,262295,139311,72707,249047,230885,48,28
"Congressional District 29 (118th Congress), Texas",740677,110922,138749,14634,13825,519043,162084,243937,129787,44163,230916,212156,48,29
"Congressional District 30 (118th Congress), Texas",772920,330896,171386,25073,29824,558880,120730,300614,118612,99584,290404,273438,48,30
"Congressional District 31 (118th Congress), Texas",868119,71172,536778,59350,62674,574509,67714,314442,128188,146120,306312,294012,48,31
"Congressional District 32 (118th Congress), Texas",762001,148577,281687,60332,22954,570275,103711,320880,106387,130025,312703,299062,48,32
"Congressional District 33 (118th Congress), Texas",734551,118102,171000,68483,14816,531889,119238,262730,123808,71033,255822,236917,48,33
"Congressional District 34 (118th Congress), Texas",778323,5258,261674,5002,23383,527567,200040,250468,125403,58338,233449,216522,48,34
"Congressional District 35 (118th Congress), Texas",834055,101130,338461,31475,45307,593189,140305,324719,138537,123479,317734,299692,48,35
"Congressional District 36 (118th Congress), Texas",789655,88727,426038,32776,36985,555265,93654,291473,167522,79982,283806,266972,48,36
